City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,9.21,97,100,2.28,AR,1675328308
1,lebu,-37.6167,-73.65,13.77,83,0,9.65,CL,1675332587
2,novaya ladoga,60.1025,32.3019,-5.07,95,100,3.51,RU,1675317846
3,punta arenas,-53.15,-70.9167,14.06,58,100,3.09,CL,1675329339
4,pevek,69.7008,170.3133,-22.16,95,21,0.46,RU,1675289943
5,rapid valley,44.0625,-103.1463,0.63,71,0,4.02,US,1675260621
6,vaini,-21.2,-175.2,29.09,74,75,6.17,TO,1675358634
7,ponta do sol,32.6667,-17.1,17.35,64,66,4.74,PT,1675324963
8,vao,-22.6667,167.4833,26.8,76,29,2.96,NC,1675276225
9,east london,-33.0153,27.9116,20.46,83,16,4.67,ZA,1675308727
10,busselton,-33.65,115.3333,25.02,36,97,6.27,AU,1675287661
11,cayenne,4.9333,-52.3333,23.02,100,0,1.54,GF,1675331129
12,esperance,-33.8667,121.9,18.37,71,99,5.15,AU,1675286060
13,yeppoon,-23.1333,150.7333,33.88,55,12,0.87,AU,1675280205
14,jacksonville,30.3322,-81.6556,19.46,89,75,0.0,US,1675253854
15,hermanus,-34.4187,19.2345,17.67,82,25,2.5,ZA,1675310655
16,semey,50.4111,80.2275,-15.88,85,0,1.0,KZ,1675304006
17,kapaa,22.0752,-159.319,26.18,82,40,4.63,US,1675271738
18,mataura,-46.1927,168.8643,22.04,76,100,1.91,NZ,1675273096
19,tiksi,71.6872,128.8694,-27.17,98,100,3.6,RU,1675302155
20,hirara,24.8,125.2833,20.61,76,36,6.87,JP,1675290063
21,cherskiy,68.75,161.3,-20.95,99,98,1.46,RU,1675291275
22,longyearbyen,78.2186,15.6401,-11.09,62,20,7.72,SJ,0
23,hilo,19.7297,-155.09,25.14,84,40,3.09,US,1675270528
24,suhbaatar,50.2314,106.2078,-19.97,94,100,1.78,MN,1675297744
25,maragogi,-9.0122,-35.2225,25.29,80,15,1.99,BR,1675325998
26,petropavlovsk-kamchatskiy,53.0452,158.6483,-10.12,52,0,2.0,RU,1675285725
27,tuktoyaktuk,69.4541,-133.0374,-33.75,99,32,2.96,CA,1675276169
28,kavieng,-2.5744,150.7967,29.86,61,97,3.25,PG,1675281824
29,qiongshan,20.0058,110.3542,22.15,77,99,5.82,CN,1675293239
30,sturgis,41.7992,-85.4192,-6.63,71,0,2.06,US,1675256057
31,kodiak,57.79,-152.4072,-0.27,86,75,2.06,US,1675275145
32,alexandria,31.2156,29.9553,13.8,54,8,6.93,EG,1675313530
33,hobart,-42.8794,147.3294,20.14,49,75,9.26,AU,1675278794
34,at-bashi,41.1702,75.8106,-7.46,72,100,2.01,KG,1675303647
35,atuona,-9.8,-139.0333,25.92,80,91,7.12,PF,1675264438
36,bengkulu,-3.8004,102.2655,28.1,70,97,2.83,ID,1675293383
37,okha,53.5739,142.9478,-23.11,87,84,5.46,RU,1675289602
38,coquimbo,-29.9533,-71.3436,16.85,88,0,2.57,CL,1675332885
39,cidreira,-30.1811,-50.2056,23.84,91,2,2.99,BR,1675327786
40,port alfred,-33.5906,26.891,17.32,92,0,4.04,ZA,1675308909
41,grand gaube,-20.0064,57.6608,25.77,81,6,0.89,MU,1675302825
42,klyuchi,52.2667,79.1667,-12.85,97,97,1.14,RU,1675304618
43,takoradi,4.8845,-1.7554,25.47,91,0,2.22,GH,1675318986
44,sibolga,1.7427,98.7792,25.64,70,100,1.45,ID,1675294627
45,acarau,-2.8856,-40.12,25.73,82,96,5.55,BR,1675327628
46,hornepayne,49.2138,-84.7705,-23.69,97,7,1.8,CA,1675257035
47,namibe,-15.1961,12.1522,21.76,81,100,2.12,AO,1675314147
48,port elizabeth,-33.918,25.5701,19.62,79,36,3.58,ZA,1675309190
49,faanui,-16.4833,-151.75,27.79,76,44,8.15,PF,1675266963
